Tomo Format 2 
fSourceX(m.) fSourceY(m.) fSourceZ(m.) fSourceAngleX(rad.) fSourceAngleY(rad.) 	 fReceiverX(m.) fReceiverY(m.) fReceiverZ(m.) fReceiverAngleX(rad.) fReceiverAngleY(rad.) 	 fTime(s.)
fV0(m./s.) 3500
2502.42 0 509.304 -0.448154 0 2752.42 0 509.304 0.448154 0 0.17546
2377.42 0 509.304 -0.765804 0 2877.42 0 509.304 0.765804 0 0.216721
2252.42 0 509.304 -0.964569 0 3002.42 0 509.304 0.964569 0 0.271363
2127.42 0 509.304 -1.09129 0 3127.42 0 509.304 1.09129 0 0.332646
1877.42 0 509.304 -1.2371 0 3377.42 0 509.304 1.2371 0 0.464205
1627.42 0 509.304 -1.31643 0 3627.42 0 509.304 1.31643 0 0.601039
2502.42 0 509.304 -0.283734 0 2752.42 0 509.304 0.283734 0 0.272652
2377.42 0 509.304 -0.527977 0 2877.42 0 509.304 0.527977 0 0.301064
2252.42 0 509.304 -0.718719 0 3002.42 0 509.304 0.718719 0 0.342952
2127.42 0 509.304 -0.862059 0 3127.42 0 509.304 0.862059 0 0.393841
1877.42 0 509.304 -1.05155 0 3377.42 0 509.304 1.05155 0 0.511133
1627.42 0 509.304 -1.16582 0 3627.42 0 509.304 1.16582 0 0.639215
2627.42 0 508.868 -0.426214 0 2877.42 0 508.868 0.426214 0 0.18418
2502.42 0 508.868 -0.737268 0 3002.42 0 508.868 0.737268 0 0.223908
2377.42 0 508.868 -0.937523 0 3127.42 0 508.868 0.937523 0 0.27724
2252.42 0 508.868 -1.06749 0 3252.42 0 508.868 1.06749 0 0.337569
2002.42 0 508.868 -1.219 0 3502.42 0 508.868 1.219 0 0.46794
1752.42 0 508.868 -1.30215 0 3752.42 0 508.868 1.30215 0 0.604096
2627.42 0 508.868 -0.275609 0 2877.42 0 508.868 0.275609 0 0.280793
2502.42 0 508.868 -0.51475 0 3002.42 0 508.868 0.51475 0 0.308488
2377.42 0 508.868 -0.703575 0 3127.42 0 508.868 0.703575 0 0.349541
2252.42 0 508.868 -0.846892 0 3252.42 0 508.868 0.846892 0 0.399662
2002.42 0 508.868 -1.03826 0 3502.42 0 508.868 1.03826 0 0.515775
1752.42 0 508.868 -1.15462 0 3752.42 0 508.868 1.15462 0 0.643074
2752.42 0 508.523 -0.40573 0 3002.42 0 508.523 0.40573 0 0.193212
2627.42 0 508.523 -0.70977 0 3127.42 0 508.523 0.70977 0 0.231459
2502.42 0 508.523 -0.910874 0 3252.42 0 508.523 0.910874 0 0.283472
2377.42 0 508.523 -1.04373 0 3377.42 0 508.523 1.04373 0 0.342817
2127.42 0 508.523 -1.20069 0 3627.42 0 508.523 1.20069 0 0.471937
1877.42 0 508.523 -1.28762 0 3877.42 0 508.523 1.28762 0 0.607369
2752.42 0 508.523 -0.268161 0 3002.42 0 508.523 0.268161 0 0.288716
2627.42 0 508.523 -0.502504 0 3127.42 0 508.523 0.502504 0 0.315749
2502.42 0 508.523 -0.689406 0 3252.42 0 508.523 0.689406 0 0.356018
2377.42 0 508.523 -0.832582 0 3377.42 0 508.523 0.832582 0 0.405404
2127.42 0 508.523 -1.02558 0 3627.42 0 508.523 1.02558 0 0.520378
1877.42 0 508.523 -1.14387 0 3877.42 0 508.523 1.14387 0 0.646909
2877.42 0 508.254 -0.386102 0 3127.42 0 508.254 0.386102 0 0.2028
2752.42 0 508.254 -0.682625 0 3252.42 0 508.254 0.682625 0 0.239582
2627.42 0 508.254 -0.883981 0 3377.42 0 508.254 0.883981 0 0.29024
2502.42 0 508.254 -1.01942 0 3502.42 0 508.254 1.01942 0 0.348546
2252.42 0 508.254 -1.1817 0 3752.42 0 508.254 1.1817 0 0.476318
2002.42 0 508.254 -1.27247 0 4002.42 0 508.254 1.27247 0 0.610958
2877.42 0 508.254 -0.261095 0 3127.42 0 508.254 0.261095 0 0.296672
2752.42 0 508.254 -0.490779 0 3252.42 0 508.254 0.490779 0 0.323071
2627.42 0 508.254 -0.675706 0 3377.42 0 508.254 0.675706 0 0.362578
2502.42 0 508.254 -0.818632 0 3502.42 0 508.254 0.818632 0 0.411242
2252.42 0 508.254 -1.01309 0 3752.42 0 508.254 1.01309 0 0.525078
2002.42 0 508.254 -1.13322 0 4002.42 0 508.254 1.13322 0 0.650835
3002.42 0 507.997 -0.367992 0 3252.42 0 507.997 0.367992 0 0.212593
2877.42 0 507.997 -0.656875 0 3377.42 0 507.997 0.656875 0 0.247983
2752.42 0 507.997 -0.857913 0 3502.42 0 507.997 0.857913 0 0.297306
2627.42 0 507.997 -0.995536 0 3627.42 0 507.997 0.995536 0 0.35456
2377.42 0 507.997 -1.16278 0 3877.42 0 507.997 1.16278 0 0.480938
2127.42 0 507.997 -1.25728 0 4127.42 0 507.997 1.25728 0 0.614748
3002.42 0 507.997 -0.254478 0 3252.42 0 507.997 0.254478 0 0.304548
2877.42 0 507.997 -0.479704 0 3377.42 0 507.997 0.479704 0 0.330347
2752.42 0 507.997 -0.662645 0 3502.42 0 507.997 0.662645 0 0.369125
2627.42 0 507.997 -0.805229 0 3627.42 0 507.997 0.805229 0 0.417089
2377.42 0 507.997 -1.00096 0 3877.42 0 507.997 1.00096 0 0.529807
2127.42 0 507.997 -1.12283 0 4127.42 0 507.997 1.12283 0 0.654793
3127.42 0 507.831 -0.351396 0 3377.42 0 507.831 0.351396 0 0.222491
3002.42 0 507.831 -0.632677 0 3502.42 0 507.831 0.632677 0 0.256572
2877.42 0 507.831 -0.832907 0 3627.42 0 507.831 0.832907 0 0.304595
2752.42 0 507.831 -0.972308 0 3752.42 0 507.831 0.972308 0 0.360799
2502.42 0 507.831 -1.14411 0 4002.42 0 507.831 1.14411 0 0.485756
2252.42 0 507.831 -1.2422 0 4252.42 0 507.831 1.2422 0 0.618707
3127.42 0 507.831 -0.246792 0 3377.42 0 507.831 0.246792 0 0.312716
3002.42 0 507.831 -0.466727 0 3502.42 0 507.831 0.466727 0 0.337813
2877.42 0 507.831 -0.647192 0 3627.42 0 507.831 0.647192 0 0.375725
2752.42 0 507.831 -0.789239 0 3752.42 0 507.831 0.789239 0 0.422847
2502.42 0 507.831 -0.986334 0 4002.42 0 507.831 0.986334 0 0.534198
2252.42 0 507.831 -1.11021 0 4252.42 0 507.831 1.11021 0 0.658231
3252.42 0 507.683 -0.337532 0 3502.42 0 507.683 0.337532 0 0.231558
3127.42 0 507.683 -0.612017 0 3627.42 0 507.683 0.612017 0 0.264521
3002.42 0 507.683 -0.811156 0 3752.42 0 507.683 0.811156 0 0.311398
2877.42 0 507.683 -0.951846 0 3877.42 0 507.683 0.951846 0 0.366656
2627.42 0 507.683 -1.12744 0 4127.42 0 507.683 1.12744 0 0.490307
2377.42 0 507.683 -1.22864 0 4377.42 0 507.683 1.22864 0 0.622456
3252.42 0 507.683 -0.237875 0 3502.42 0 507.683 0.237875 0 0.320872
3127.42 0 507.683 -0.451521 0 3627.42 0 507.683 0.451521 0 0.345147
3002.42 0 507.683 -0.628878 0 3752.42 0 507.683 0.628878 0 0.382028
2877.42 0 507.683 -0.770101 0 3877.42 0 507.683 0.770101 0 0.428131
2627.42 0 507.683 -0.968589 0 4127.42 0 507.683 0.968589 0 0.5378
2377.42 0 507.683 -1.0948 0 4377.42 0 507.683 1.0948 0 0.66064
3377.42 0 507.555 -0.324832 0 3627.42 0 507.555 0.324832 0 0.240576
3252.42 0 507.555 -0.592733 0 3752.42 0 507.555 0.592733 0 0.272494
3127.42 0 507.555 -0.790513 0 3877.42 0 507.555 0.790513 0 0.318274
3002.42 0 507.555 -0.932199 0 4002.42 0 507.555 0.932199 0 0.372605
2752.42 0 507.555 -1.11123 0 4252.42 0 507.555 1.11123 0 0.494953
2502.42 0 507.555 -1.21538 0 4502.42 0 507.555 1.21538 0 0.62629
3377.42 0 507.555 -0.230033 0 3627.42 0 507.555 0.230033 0 0.329041
3252.42 0 507.555 -0.438013 0 3752.42 0 507.555 0.438013 0 0.352585
3127.42 0 507.555 -0.612424 0 3877.42 0 507.555 0.612424 0 0.388536
3002.42 0 507.555 -0.752731 0 4002.42 0 507.555 0.752731 0 0.433704
2752.42 0 507.555 -0.952254 0 4252.42 0 507.555 0.952254 0 0.541802
2502.42 0 507.555 -1.08049 0 4502.42 0 507.555 1.08049 0 0.66351
3502.42 0 507.36 -0.314192 0 3752.42 0 507.36 0.314192 0 0.248741
3377.42 0 507.36 -0.576313 0 3877.42 0 507.36 0.576313 0 0.27977
3252.42 0 507.36 -0.772673 0 4002.42 0 507.36 0.772673 0 0.324594
3127.42 0 507.36 -0.915035 0 4127.42 0 507.36 0.915035 0 0.378101
2877.42 0 507.36 -1.09689 0 4377.42 0 507.36 1.09689 0 0.49927
2627.42 0 507.36 -1.20358 0 4627.42 0 507.36 1.20358 0 0.629864
3502.42 0 507.36 -0.2227 0 3752.42 0 507.36 0.2227 0 0.337136
3377.42 0 507.36 -0.425273 0 3877.42 0 507.36 0.425273 0 0.359993
3252.42 0 507.36 -0.596744 0 4002.42 0 507.36 0.596744 0 0.395054
3127.42 0 507.36 -0.736023 0 4127.42 0 507.36 0.736023 0 0.439315
2877.42 0 507.36 -0.936329 0 4377.42 0 507.36 0.936329 0 0.545861
2627.42 0 507.36 -1.06643 0 4627.42 0 507.36 1.06643 0 0.666432
3627.42 0 507.197 -0.30455 0 3877.42 0 507.197 0.30455 0 0.256665
3502.42 0 507.197 -0.561225 0 4002.42 0 507.197 0.561225 0 0.286877
3377.42 0 507.197 -0.756063 0 4127.42 0 507.197 0.756063 0 0.330803
3252.42 0 507.197 -0.898899 0 4252.42 0 507.197 0.898899 0 0.383525
3002.42 0 507.197 -1.08326 0 4502.42 0 507.197 1.08326 0 0.503551
2752.42 0 507.197 -1.1923 0 4752.42 0 507.197 1.1923 0 0.633416
3627.42 0 507.197 -0.215769 0 3877.42 0 507.197 0.215769 0 0.345259
3502.42 0 507.197 -0.413134 0 4002.42 0 507.197 0.413134 0 0.36746
3377.42 0 507.197 -0.581659 0 4127.42 0 507.197 0.581659 0 0.401663
3252.42 0 507.197 -0.719806 0 4252.42 0 507.197 0.719806 0 0.445035
3002.42 0 507.197 -0.920668 0 4502.42 0 507.197 0.920668 0 0.550037
2752.42 0 507.197 -1.0525 0 4752.42 0 507.197 1.0525 0 0.66946
3752.42 0 506.952 -0.295588 0 4002.42 0 506.952 0.295588 0 0.264386
3627.42 0 506.952 -0.547023 0 4127.42 0 506.952 0.547023 0 0.293829
3502.42 0 506.952 -0.740237 0 4252.42 0 506.952 0.740237 0 0.336895
3377.42 0 506.952 -0.883383 0 4377.42 0 506.952 0.883383 0 0.388852
3127.42 0 506.952 -1.07 0 4627.42 0 506.952 1.07 0 0.507748
2877.42 0 506.952 -1.18127 0 4877.42 0 506.952 1.18127 0 0.636882
3752.42 0 506.952 -0.209423 0 4002.42 0 506.952 0.209423 0 0.352962
3627.42 0 506.952 -0.401938 0 4127.42 0 506.952 0.401938 0 0.374558
3502.42 0 506.952 -0.567622 0 4252.42 0 506.952 0.567622 0 0.407959
3377.42 0 506.952 -0.704586 0 4377.42 0 506.952 0.704586 0 0.450492
3127.42 0 506.952 -0.905784 0 4627.42 0 506.952 0.905784 0 0.55401
2877.42 0 506.952 -1.03915 0 4877.42 0 506.952 1.03915 0 0.672313
3877.42 0 506.7 -0.287224 0 4127.42 0 506.7 0.287224 0 0.272041
3752.42 0 506.7 -0.533615 0 4252.42 0 506.7 0.533615 0 0.300758
3627.42 0 506.7 -0.725125 0 4377.42 0 506.7 0.725125 0 0.342997
3502.42 0 506.7 -0.868435 0 4502.42 0 506.7 0.868435 0 0.394208
3252.42 0 506.7 -1.0571 0 4752.42 0 506.7 1.0571 0 0.511985
3002.42 0 506.7 -1.17048 0 5002.42 0 506.7 1.17048 0 0.640388
3877.42 0 506.7 -0.203649 0 4127.42 0 506.7 0.203649 0 0.36029
3752.42 0 506.7 -0.391683 0 4252.42 0 506.7 0.391683 0 0.381332
3627.42 0 506.7 -0.554661 0 4377.42 0 506.7 0.554661 0 0.413991
3502.42 0 506.7 -0.690423 0 4502.42 0 506.7 0.690423 0 0.455738
3252.42 0 506.7 -0.891768 0 4752.42 0 506.7 0.891768 0 0.557844
3002.42 0 506.7 -1.0265 0 5002.42 0 506.7 1.0265 0 0.675066
4002.42 0 506.409 -0.279734 0 4252.42 0 506.409 0.279734 0 0.279304
3877.42 0 506.409 -0.521482 0 4377.42 0 506.409 0.521482 0 0.307365
3752.42 0 506.409 -0.711304 0 4502.42 0 506.409 0.711304 0 0.348844
3627.42 0 506.409 -0.854649 0 4627.42 0 506.409 0.854649 0 0.399359
3377.42 0 506.409 -1.04508 0 4877.42 0 506.409 1.04508 0 0.516078
3127.42 0 506.409 -1.16037 0 5127.42 0 506.409 1.16037 0 0.643782
4002.42 0 506.409 -0.198265 0 4252.42 0 506.409 0.198265 0 0.367473
3877.42 0 506.409 -0.382065 0 4377.42 0 506.409 0.382065 0 0.387996
3752.42 0 506.409 -0.542412 0 4502.42 0 506.409 0.542412 0 0.419952
3627.42 0 506.409 -0.676943 0 4627.42 0 506.409 0.676943 0 0.460945
3377.42 0 506.409 -0.878276 0 4877.42 0 506.409 0.878276 0 0.56168
3127.42 0 506.409 -1.01422 0 5127.42 0 506.409 1.01422 0 0.677838
4127.42 0 506.01 -0.273435 0 4377.42 0 506.01 0.273435 0 0.285745
4002.42 0 506.01 -0.511188 0 4502.42 0 506.01 0.511188 0 0.313248
3877.42 0 506.01 -0.699468 0 4627.42 0 506.01 0.699468 0 0.354074
3752.42 0 506.01 -0.842757 0 4752.42 0 506.01 0.842757 0 0.403983
3502.42 0 506.01 -1.03461 0 5002.42 0 506.01 1.03461 0 0.519769
3252.42 0 506.01 -1.15153 0 5252.42 0 506.01 1.15153 0 0.64685
4127.42 0 506.01 -0.193766 0 4377.42 0 506.01 0.193766 0 0.37426
4002.42 0 506.01 -0.373985 0 4502.42 0 506.01 0.373985 0 0.394347
3877.42 0 506.01 -0.532056 0 4627.42 0 506.01 0.532056 0 0.425708
3752.42 0 506.01 -0.665472 0 4752.42 0 506.01 0.665472 0 0.466056
3502.42 0 506.01 -0.866677 0 5002.42 0 506.01 0.866677 0 0.565604
3252.42 0 506.01 -1.0036 0 5252.42 0 506.01 1.0036 0 0.680829
4252.42 0 505.707 -0.267482 0 4502.42 0 505.707 0.267482 0 0.292122
4127.42 0 505.707 -0.501382 0 4627.42 0 505.707 0.501382 0 0.319095
4002.42 0 505.707 -0.6881 0 4752.42 0 505.707 0.6881 0 0.359291
3877.42 0 505.707 -0.831257 0 4877.42 0 505.707 0.831257 0 0.408609
3627.42 0 505.707 -1.0244 0 5127.42 0 505.707 1.0244 0 0.523475
3377.42 0 505.707 -1.14286 0 5377.42 0 505.707 1.14286 0 0.649935
4252.42 0 505.707 -0.189643 0 4502.42 0 505.707 0.189643 0 0.38072
4127.42 0 505.707 -0.36655 0 4627.42 0 505.707 0.36655 0 0.400406
4002.42 0 505.707 -0.522473 0 4752.42 0 505.707 0.522473 0 0.431215
3877.42 0 505.707 -0.654796 0 4877.42 0 505.707 0.654796 0 0.470961
3627.42 0 505.707 -0.855784 0 5127.42 0 505.707 0.855784 0 0.569386
3377.42 0 505.707 -0.99357 0 5377.42 0 505.707 0.99357 0 0.683718
4377.42 0 505.47 -0.261765 0 4627.42 0 505.47 0.261765 0 0.298528
4252.42 0 505.47 -0.491895 0 4752.42 0 505.47 0.491895 0 0.324987
4127.42 0 505.47 -0.677016 0 4877.42 0 505.47 0.677016 0 0.364567
4002.42 0 505.47 -0.819971 0 5002.42 0 505.47 0.819971 0 0.413301
3752.42 0 505.47 -1.01429 0 5252.42 0 505.47 1.01429 0 0.527247
3502.42 0 505.47 -1.13425 0 5502.42 0 505.47 1.13425 0 0.653079
4377.42 0 505.47 -0.186118 0 4627.42 0 505.47 0.186118 0 0.386342
4252.42 0 505.47 -0.360167 0 4752.42 0 505.47 0.360167 0 0.405683
4127.42 0 505.47 -0.514203 0 4877.42 0 505.47 0.514203 0 0.436015
4002.42 0 505.47 -0.645538 0 5002.42 0 505.47 0.645538 0 0.475237
3752.42 0 505.47 -0.846259 0 5252.42 0 505.47 0.846259 0 0.572674
3502.42 0 505.47 -0.984749 0 5502.42 0 505.47 0.984749 0 0.686214
4502.42 0 505.44 -0.256216 0 4752.42 0 505.44 0.256216 0 0.305027
4377.42 0 505.44 -0.482621 0 4877.42 0 505.44 0.482621 0 0.330984
4252.42 0 505.44 -0.666097 0 5002.42 0 505.44 0.666097 0 0.369955
4127.42 0 505.44 -0.808781 0 5127.42 0 505.44 0.808781 0 0.418105
3877.42 0 505.44 -1.00419 0 5377.42 0 505.44 1.00419 0 0.531122
3627.42 0 505.44 -1.1256 0 5627.42 0 505.44 1.1256 0 0.656315
4502.42 0 505.44 -0.183396 0 4752.42 0 505.44 0.183396 0 0.39058
4377.42 0 505.44 -0.355225 0 4877.42 0 505.44 0.355225 0 0.409655
4252.42 0 505.44 -0.507775 0 5002.42 0 505.44 0.507775 0 0.439616
4127.42 0 505.44 -0.638311 0 5127.42 0 505.44 0.638311 0 0.478426
3877.42 0 505.44 -0.838773 0 5377.42 0 505.44 0.838773 0 0.575084
3627.42 0 505.44 -0.977785 0 5627.42 0 505.44 0.977785 0 0.687992
4627.42 0 505.538 -0.250263 0 4877.42 0 505.538 0.250263 0 0.311123
4502.42 0 505.538 -0.472603 0 5002.42 0 505.538 0.472603 0 0.336538
4377.42 0 505.538 -0.654209 0 5127.42 0 505.538 0.654209 0 0.374843
4252.42 0 505.538 -0.796518 0 5252.42 0 505.538 0.796518 0 0.42235
4002.42 0 505.538 -0.993014 0 5502.42 0 505.538 0.993014 0 0.534328
3752.42 0 505.538 -1.11599 0 5752.42 0 505.538 1.11599 0 0.658799
4627.42 0 505.538 -0.182201 0 4877.42 0 505.538 0.182201 0 0.393226
4502.42 0 505.538 -0.353049 0 5002.42 0 505.538 0.353049 0 0.412184
4377.42 0 505.538 -0.504938 0 5127.42 0 505.538 0.504938 0 0.441981
4252.42 0 505.538 -0.635113 0 5252.42 0 505.538 0.635113 0 0.480609
4002.42 0 505.538 -0.835447 0 5502.42 0 505.538 0.835447 0 0.57692
3752.42 0 505.538 -0.974681 0 5752.42 0 505.538 0.974681 0 0.689545
4752.42 0 505.633 -0.245272 0 5002.42 0 505.633 0.245272 0 0.316348
4627.42 0 505.633 -0.464146 0 5127.42 0 505.633 0.464146 0 0.341306
4502.42 0 505.633 -0.644099 0 5252.42 0 505.633 0.644099 0 0.379044
4377.42 0 505.633 -0.786021 0 5377.42 0 505.633 0.786021 0 0.425995
4127.42 0 505.633 -0.983368 0 5627.42 0 505.633 0.983368 0 0.537067
3877.42 0 505.633 -1.10765 0 5877.42 0 505.633 1.10765 0 0.660903
4752.42 0 505.633 -0.181651 0 5002.42 0 505.633 0.181651 0 0.394546
4627.42 0 505.633 -0.352048 0 5127.42 0 505.633 0.352048 0 0.41345
4502.42 0 505.633 -0.503631 0 5252.42 0 505.633 0.503631 0 0.443171
4377.42 0 505.633 -0.633638 0 5377.42 0 505.633 0.633638 0 0.481716
4127.42 0 505.633 -0.833909 0 5627.42 0 505.633 0.833909 0 0.577865
3877.42 0 505.633 -0.973245 0 5877.42 0 505.633 0.973245 0 0.690359
4877.42 0 505.623 -0.240585 0 5127.42 0 505.623 0.240585 0 0.320862
4752.42 0 505.623 -0.456159 0 5252.42 0 505.623 0.456159 0 0.345387
4627.42 0 505.623 -0.634487 0 5377.42 0 505.623 0.634487 0 0.382585
4502.42 0 505.623 -0.775984 0 5502.42 0 505.623 0.775984 0 0.429002
4252.42 0 505.623 -0.974072 0 5752.42 0 505.623 0.974072 0 0.539194
4002.42 0 505.623 -1.09957 0 6002.42 0 505.623 1.09957 0 0.662406
4877.42 0 505.623 -0.180001 0 5127.42 0 505.623 0.180001 0 0.3983
4752.42 0 505.623 -0.349039 0 5252.42 0 505.623 0.349039 0 0.417041
4627.42 0 505.623 -0.499698 0 5377.42 0 505.623 0.499698 0 0.446535
4502.42 0 505.623 -0.629194 0 5502.42 0 505.623 0.629194 0 0.484826
4252.42 0 505.623 -0.829265 0 5752.42 0 505.623 0.829265 0 0.580489
4002.42 0 505.623 -0.968899 0 6002.42 0 505.623 0.968899 0 0.692585
5002.42 0 505.49 -0.239636 0 5252.42 0 505.49 0.239636 0 0.324363
4877.42 0 505.49 -0.454536 0 5377.42 0 505.49 0.454536 0 0.348801
4752.42 0 505.49 -0.632528 0 5502.42 0 505.49 0.632528 0 0.385888
4627.42 0 505.49 -0.773931 0 5627.42 0 505.49 0.773931 0 0.432195
4377.42 0 505.49 -0.972162 0 5877.42 0 505.49 0.972162 0 0.542205
4127.42 0 505.49 -1.09791 0 6127.42 0 505.49 1.09791 0 0.665289
5002.42 0 505.49 -0.175898 0 5252.42 0 505.49 0.175898 0 0.407667
4877.42 0 505.49 -0.341539 0 5377.42 0 505.49 0.341539 0 0.426004
4752.42 0 505.49 -0.489857 0 5502.42 0 505.49 0.489857 0 0.454929
4627.42 0 505.49 -0.61803 0 5627.42 0 505.49 0.61803 0 0.49258
4377.42 0 505.49 -0.817524 0 5877.42 0 505.49 0.817524 0 0.587009
4127.42 0 505.49 -0.957862 0 6127.42 0 505.49 0.957862 0 0.698084
5127.42 0 505.34 -0.23854 0 5377.42 0 505.34 0.23854 0 0.327544
5002.42 0 505.34 -0.45266 0 5502.42 0 505.34 0.45266 0 0.35188
